,id,native,language,text
6753,20340,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am from Barcelona and I consider myself a very curious person with a wide variety of interests.
6754,20341,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to do an exchange lenaguage basically for improve my skills and pronunciation in English. Also, I want to understand easly the english when it's speaked. As well, how i've said, some of my hobbies are basketball, write, some free days going to climb mountains, listen a lot of old music, do activities for kids, learn about the universe, fiction/action/mistery movies... ¡If you are interested to improve your spanish i'll be happy to help you!"
6755,20342,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Spanish and I'm a Programming studient. I'm glad to speak with you about whatever. If you want to improve your spanish, I will be pleased to speak with you."
6756,20343,Spanish<br/>Catalan,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Im a Spanish guy trying to learn Japanese, I also know English and Catalan besides of Spanish, let’s work together☺️"
6757,20344,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am from Spain, I live in Barcelona. I started to learn English two years ago and I would like to improve my English. My challenge for this year is speaking and writing fluency . If someone wants to improve your Catalan or Spanish I could help too."
6758,20345,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am 34 years old, nowadays I am living in a countryside in a small town from interior of Alicante. I'm special education teacher, I have 3 little children. I want learn once and for all."
6759,20348,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Well, I'm from Barcelona, 26 years old and I really need help with my English! I need to practise conversations face to face! So if you can help me, I would be delightful to help you with your Spanish or even your Catalan! I love to talk about everything and even if I am a little shy at the beginning, I love meeting new people and learning all about their countries and cultures!"
6760,20350,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I would like to improve my english skills and if you want I can help you with spanish ;)"
6762,20352,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm an spanish native speaker looking for someone willing to help me with my English. In return I can help with the Spanish. I'm looking for relaxed conversations developing topics in either language and correct each other mistakes. Please if you might be interested, don't hesitate to contact me."
6763,20353,Spanish<br/>Catalan,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my Japanese and English skills (currently I only want to exchange messages) so, if you want, we can exchange messages each other and correct them to learn together. I can teach you Spanish and Catalan, and you can teach me Japanese or English. My Japanese level is very low (I started this March, but I want to improve it! ), and my English level is B1. Feel free to send me a message if you are looking for exchanging messages. Thanks!"
6764,20354,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","こんいちわ~~ I'm Amanda, native Spanish and Catalan speaker from Spain. I'm a web developer and UI designer, I'm also studying arts and making my own manga. Also I got certified as a spanish teacher specialized in teaching spanish as a foreign language. I'm taking japanese seriously cause I want to get a working holiday visa, I'm looking for a serious partner to help me with listening/speaking skills."
6765,20357,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am 43 years old. I am studying English and I want to improve my speaking
6766,20358,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Judith, from Barcelona. I'm looking for someone to improve my English. I can help you with Spanish and Catalan."
6767,20361,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a teacher, I live near Barcelona and I would like to improve my spoken English. In exchange I can help you to learn or improve your Catalan or Spanish."
6769,20365,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my English. I love the food, play padel and restaurants."
6770,20366,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I need to improve my speaking, because I have an intermediate level of English, but my speaking fluency is not really this level. I have no confidence in this ability. I would like to exchange languages with a good conversationalist I hope to hear from you!"
6771,20367,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a Spanish teacher in primary school that adore my job, since it's not just my work but my main hobby, and I'm here looking for other teachers wanting to share educative experiences so as to enrich each other knowledge while learning a language, I can help with both Catalan and Spanish."
6772,20369,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Looking for someone to practice English in exchange for Spanish or Catalan. I have been living abroad for one year and I want to keep learning English or at least don't lose it.
6773,20372,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I live in Catalonia and I'm learning english. I amb catalan native and I speek Catalan and Spanish.
6774,20373,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I'm Laura, I'm looking for a job right now and I would like to practice English to be prepared for the interviews. In exchange I can teach Catalan and Spanish. I've got experience teaching students with problems to pass this subjects. So, I can hold an entertaining conversation and also help you with the grammar of both languages."
6776,20376,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a nurse in a surgical area and just now I'm studying about anesthesia nurse Master! I want to learn and practise English! I can help you to improve your Spanish or Catalan language =)
6777,20377,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I looking for a partner to improve my english fluency and my confidence speaking it! I'm native in spanish and catalan and live in Barcelona city. I would love to practice/teach in a win-win way. I prefer face to face conversations having a coffee, tea or a beer!"
6778,20380,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my English, and I can help you with Spanish and Catalan."
6779,20381,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I wish to make a knowledge exchange between spanish and english so we both could improve and learn new vocabulary. I’m perfectionist with language and I like to speak correctly (in spanish, of course ;) Greetings"
6780,20382,Spanish<br/>Catalan,"[{'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a Spanish girl, I would like to improve my level of English and especially French."
6781,20383,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to have a conversation exchange to improve my English, I can talk in Spanish and Catalan too!"
6782,20386,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm very interested in speaking English and also practice Spanish or Catalan with you. I need to improve my speaking skills and I think it's a good idea sharing language.
6783,20390,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am learning English and I would like to talk with people who master this language. I will teach you Spanish. Thanks!!"
6784,20391,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Do not think of me as a english native speaker because of my name , I am spanish history student who wants to practice his english speaking as I help you with your spanish. Contact me if you are interested or if you want to know why my spanish parents call me Bryan XD."
